"Difficulty","Question","Attorney Response"
"Simple","I am a Sikh man planning to get married in Punjab. Does my marriage need to be registered under the Hindu Marriage Act?","No, you can register your marriage under the Anand Marriage Act, 1909, which specifically applies to Sikhs. Registration under this Act is legally recognized, and you do not need to register under the Hindu Marriage Act."
"Intermediate","As a Muslim woman in Uttar Pradesh, if my husband pronounces 'Talaq' three times in one sitting, is my marriage legally terminated?","No. The Supreme Court of India and the Muslim Women (Protection of Rights on Marriage) Act, 2019 have made instant Triple Talaq (Talaq-e-Biddat) void and illegal. Your marriage remains legally valid, and such an act by your husband is a punishable criminal offense."
"Intermediate","I am a Hindu woman from Kerala and my partner is a Christian man. Do we have to convert to marry each other legally?","No, you do not need to convert. You can legally marry under the Special Marriage Act, 1954, which allows two individuals of different faiths to register a civil marriage without changing their respective religions."
"Tricky","I belong to the Khasi tribe in Meghalaya. If I divorce my husband, who gets the custody of our children according to our customary laws?","The Khasi tribe follows a matrilineal system. Under customary laws, the children take the mother's surname, and in the event of a divorce, the mother traditionally and legally retains the custody of the children and the ancestral property."
"Intermediate","I am a Parsi man residing in Mumbai. Can I file for divorce in a regular family court?","No, Parsi marriages and divorces are governed by the Parsi Marriage and Divorce Act, 1936. You must file your petition in a special Parsi Chief Matrimonial Court, which is presided over by a judge and assisted by Parsi delegates who act as a jury."
"Tricky","We are a Hindu couple residing in Goa. If we divorce, how is our property divided?","Goa follows a Uniform Civil Code (the Portuguese Civil Code of 1867). Under this law, the property acquired before or after marriage is generally considered 'communion of property' (jointly owned). Upon divorce, spouses are entitled to an equal 50/50 split of the total marital assets."
"Simple","I am a Christian woman in Tamil Nadu. How long must I be separated from my husband before filing for a mutual consent divorce?","Under Section 10A of the Divorce Act, 1869 (which governs Christians in India), you and your husband must have been living separately for a minimum period of one year before you can jointly file a petition for a mutual consent divorce."
"Tricky","I am an NRI living in the US but married in Gujarat under the Hindu Marriage Act. If I get an ex-parte divorce decree from a US court, is it valid in India?","An ex-parte US divorce decree is generally not recognized by Indian courts if your wife did not consent to or participate in the US proceedings. She can challenge it in India, and your marriage will still be considered legally valid under Indian jurisdiction."
"Intermediate","We are a Buddhist couple from Sikkim. Are our marriage laws the same as Hindus?","Yes. Under the Hindu Marriage Act, 1955, the definition of 'Hindu' legally encompasses Buddhists, Jains, and Sikhs. Therefore, your marriage, registration, and divorce proceedings are governed by the Hindu Marriage Act unless a specific local Sikkimese customary law supersedes it."
"Intermediate","I am a Muslim man from Kashmir. Can I legally marry a second wife without divorcing my first wife?","Yes, Muslim Personal Law allows a Muslim man to have up to four wives. However, your first wife is legally entitled to seek maintenance or file for divorce if you fail to treat her equitably, or she can enforce a prenuptial condition if one was signed during your Nikah."
"Tricky","I am a transgender woman in Kolkata, and I wish to marry a cisgender Hindu man. Is our marriage legally recognized?","Yes. The Madras High Court (in Arunkumar vs. Inspector General of Registration) ruled that the term 'bride' under the Hindu Marriage Act includes transwomen. If you identify as a woman and perform Hindu customary rites, your marriage can be legally solemnized and registered."
"Intermediate","I have been in a live-in relationship with my partner in Delhi for 5 years but we aren't married. Can I claim maintenance if he abandons me?","Yes. The Supreme Court of India recognizes long-term live-in relationships as being 'in the nature of marriage.' You can seek maintenance and protection from domestic violence under the Protection of Women from Domestic Violence Act, 2005."
"Intermediate","I was married off at the age of 15 in rural Rajasthan. I am now 19. Do I have to go through a formal divorce to end this marriage?","No, you do not need a divorce. Since you were a minor, you have the right to legally 'repudiate' or annul the child marriage under the Prohibition of Child Marriage Act, 2006. You must file a petition to void the marriage before you turn 20 years old."
"Simple","I am a Jain man in Bangalore. Can my wife claim maintenance from me even if she earns a high salary?","Jains are governed by the Hindu Marriage Act. If the court finds that your wife has sufficient independent income to maintain the same standard of living she enjoyed during the marriage, the court may reduce or completely deny her plea for maintenance."
"Simple","We got married in an Arya Samaj Mandir in Haryana and received their certificate. Is this enough legal proof of our marriage?","While an Arya Samaj marriage is legally valid under the Hindu Marriage Act, the temple certificate alone is not sufficient for official purposes (like passports or visas). You must still mandatorily register the marriage with the local Sub-Divisional Magistrate (SDM) or Marriage Registrar."
